Uni?,alpha,sigma_m1C,sigma_m1T,sigma_m2C,sigma_m2T,sigma_m6_plus,sigma_m6_moins,sigma_mb_plus,sigma_mb_moins,E_1m,E_2m,G_12m,u_12m,u_16m,u_26m,E_1f,E_2f,G_12f,u_12f,u_16f,u_26f
True,0.0,-274.1678482054933,77.95578049906344,-274.1678482054934,77.95578049906345,65.0,-64.99999999999999,68.73438760979685,-220.38168213808038,18231.170485830677,18231.17048583068,2327.7590958252053,0.18387791590257205,-7.169645796707357e-17,2.6289624020497385e-16,11718.365327486988,24561.171763322516,2327.7590958252053,0.13580389678577964,-1.0372540853007816e-16,4.643308806857002e-16
True,14.999999999999998,-229.7031587115864,77.07418699512924,-229.7031587115864,77.07418699512924,62.886439971523544,-62.88643997152355,68.73438760979687,-220.38168213808044,13589.939813031873,13589.939813031873,2819.5478056153743,0.39164355839960036,-0.8818794537830072,0.881879453783007,10013.004596241832,16332.716780482175,2781.5987609952454,0.2914989840408941,-0.49610726432418467,1.1736204511610326
True,29.999999999999996,-168.64807374457382,77.88406217349448,-168.64807374457382,77.88406217349447,73.68165033614612,-73.68165033614615,68.73438760979684,-220.3816821380803,9005.00926746246,9005.009267462461,4882.694182359595,0.5968889141599587,-0.5843537766433291,0.5843537766433291,7889.549608789543,9574.947463739869,4559.52684786749,0.5061789775026357,-0.3264695523153199,0.7662190907497064
True,45.0,-152.68908337144418,86.54378474317396,-152.68908337144416,86.54378474317397,87.15361305588682,-87.15361305588682,68.7343876097969,-220.3816821380806,7705.226840605871,7705.226840605871,7699.767957885885,0.6550739409471231,-0.0,-0.0,7512.152337455419,7512.152337455419,6701.120989215179,0.6136017577867773,0.1676016199990244,0.16760161999902443
